"","rt1","","rt2","","rt4","","rt5",""
"","b","t","b","t","b","t","b","t"
"std_length",".2500038","23.70136",".0095477","1.651684",".0262096","4.177625","-.0679013","-10.41985"
"std_logdist","-.1056844","-8.657381","-.1470862","-12.5195","-.1598541","-13.43847","-.1143461","-9.96426"
"std_logpopdensity","-.0806544","-6.047887","-.1516442","-10.99883","-.154619","-11.20041","-.1266582","-9.554197"
"std_logincome","-.0565059","-7.223954",".0853708","9.570292",".0832752","9.346735",".1028758","11.92532"
"std_incomediversity4adj","-.0303492","-5.331179",".1936574","30.77972",".191958","30.4351",".2030593","33.58816"
"1.ncounty","0",".","0",".","0",".","0","."
"2.ncounty","-.012693","-.3350949","-.187082","-4.006797","-.1885952","-4.048323","-.1831498","-4.185723"
"3.ncounty","-.0642627","-1.153087",".0258869",".3973382",".0177734",".2739644",".0457949",".7166891"
"4.ncounty","-.0941954","-2.820211","-.1774476","-5.037249","-.1862129","-5.290612","-.1482667","-4.353584"
"5.ncounty",".0791987","1.701871",".0454279",".8826156",".0497684",".9690216",".0208929",".4221636"
"6.ncounty",".3295738","8.122044","-.2194038","-5.758892","-.1993862","-5.196318","-.3215029","-8.898991"
"7.ncounty",".1734625","5.746271","-.134876","-4.165191","-.1243273","-3.842282","-.1886132","-6.096972"
"8.ncounty",".2501505","5.596585","-.0981931","-2.061693","-.0865232","-1.811128","-.1756875","-3.890932"
"9.ncounty",".0172392",".3997831","-.3917188","-7.676677","-.3869509","-7.59514","-.3970594","-8.338773"
"10.ncounty","-.068048","-.4030782","-.6416314","-4.732859","-.629622","-4.620954","-.6205507","-4.836741"
"11.ncounty",".2352624","4.755348",".1642885","3.454014",".1778033","3.719182",".0914063","2.059002"
"12.ncounty",".0932503","1.958837",".1465598","3.036316",".1583851","3.286936",".1176717","2.573264"
"13.ncounty",".0287661",".5462005","-.5045354","-9.738471","-.4962626","-9.591657","-.5134469","-10.34818"
"14.ncounty",".0805707","1.299091",".1107159","1.916801",".1172823","2.033878",".0857558","1.511281"
"15.ncounty",".1606564","4.171064","-.1648927","-3.99511","-.1548733","-3.752426","-.2146626","-5.496163"
"16.ncounty",".2665077","4.413412",".0242912",".3745858",".0354974",".5455198","-.0582706","-.9752473"
"17.ncounty",".0512746",".8027986","-.2113215","-3.095887","-.2065677","-3.026269","-.2272059","-3.585814"
"18.ncounty",".1620157",".6595748","-.0591089","-.5689131","-.0568598","-.5298029","-.1092999","-.9939817"
"19.ncounty",".3499972","7.494904","-.0132738","-.2622187",".00621",".12227","-.1216999","-2.588361"
"20.ncounty","-.2362608","-7.219156","-.2720758","-7.58311","-.2817561","-7.862464","-.1988842","-5.734272"
"21.ncounty","-.0990646","-2.549373","-.3072885","-6.396032","-.3105913","-6.496834","-.2765991","-5.89122"
"22.ncounty",".254628","7.610382","-.2210069","-6.468662","-.2063259","-6.014422","-.2998884","-9.2528"
"23.ncounty",".2039818","1.09223","-.4704031","-2.98095","-.4552195","-2.959218","-.5335949","-2.923727"
"24.ncounty",".2181507","6.580094","-.1769166","-4.884188","-.1718641","-4.747397","-.2444977","-7.077293"
"25.ncounty",".2095379","4.074171","-.3453151","-6.503483","-.3357319","-6.323947","-.4102281","-8.183982"
"26.ncounty",".280494","3.211829",".1080309","1.481073",".1187797","1.625412",".0211363",".3111486"
"27.ncounty","-.1465795","-4.516325","-.4079592","-11.79671","-.4218828","-12.20781","-.3625501","-10.79299"
"28.ncounty","-.1369891","-1.944264",".0962575","1.45086",".086146","1.29727",".1386955","2.255962"
"29.ncounty","-.0982742","-2.107339",".0187349",".4466004",".0142673",".3395043",".0491794","1.246916"
"30.ncounty","-.0038632","-.0719354",".0367069",".7414315",".0394703",".7935525",".0379037",".8196825"
"31.ncounty","-.1058467","-2.26382",".4000804","9.140759",".4015038","9.170954",".4328708","10.35508"
"32.ncounty","-.1519031","-1.078578","-.4290006","-1.24155","-.4394329","-1.294452","-.3819424","-1.08275"
"33.ncounty","-.0056219","-.1263761","-.0412978","-.9259454","-.0463238","-1.038462","-.0395562","-.9489672"
"34.ncounty","-.0156811","-.2406459",".0382981",".6335048",".0356641",".5869669",".0431559",".7588998"
"35.ncounty","-.0450758","-.9766081","-.0350356","-.670029","-.0373995","-.7158985","-.0210715","-.4293028"
"36.ncounty","-.0646016","-1.664542",".1457378","3.991866",".1417108","3.879933",".1657509","4.821235"
"std_logpoi",".4111586","61.54403",".1732928","26.22417",".1867488","26.60906",".0459195","6.697384"
"std_safety","-.1180879","-20.32446","-.0387226","-6.057135","-.0400004","-6.262296","-.00214","-.346969"
"std_logtimevisit","","","","","-.0606756","-7.43941","",""
"std_logcount","","","","","","",".3097912","50.4554"
"_cons","-.047128","-2.143889",".138657","5.998946",".1379353","5.971552",".1532568","6.937197"
"N","26110","","26110","","26110","","26110",""
"R-sq",".2563169","",".1559306","",".1577741","",".2273023",""
